City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
215,bubaque,100,GW,moderate rain,89,11.28,-15.83,78.01,2.59,0,13.89
216,bastia,20,FR,few clouds,77,42.67,9.33,68.0,0.0,0,3.36
217,lebu,100,CL,light rain,89,-37.62,-73.65,52.79,0.6,0,16.22
218,sungaipenuh,64,ID,broken clouds,91,-2.08,101.38,62.82,0.0,0,3.33
219,salar,0,ES,clear sky,47,37.15,-4.02,80.6,0.0,0,1.12
220,hay river,40,CA,scattered clouds,44,60.82,-115.8,77.0,0.0,0,10.29
221,hami,50,CN,scattered clouds,17,42.8,93.45,79.48,0.0,0,5.03
222,kelowna,1,CA,clear sky,30,49.88,-119.49,84.0,0.0,0,6.93
223,fukue,100,JP,light rain,87,32.69,128.84,78.96,0.66,0,11.68
224,lompoc,4,US,clear sky,56,34.64,-120.46,72.0,0.0,0,12.75
225,walvis bay,0,NA,clear sky,13,-22.96,14.51,69.8,0.0,0,16.11
226,likasi,0,CD,clear sky,91,-10.98,26.73,44.58,0.0,0,5.73
227,constitucion,83,CL,light rain,84,-35.33,-72.42,55.53,0.69,0,13.71
228,nabire,33,ID,scattered clouds,79,-3.37,135.48,77.76,0.0,0,3.02
229,san francisco,75,US,broken clouds,60,37.77,-122.42,71.6,0.0,0,14.99
230,los llanos de aridane,32,ES,scattered clouds,88,28.66,-17.92,82.0,0.0,0,16.11
231,kysyl-syr,95,RU,overcast clouds,72,63.9,122.76,63.97,0.0,0,4.61
232,ponca city,1,US,clear sky,52,36.71,-97.09,93.2,0.0,0,12.75
233,letterkenny,89,IE,overcast clouds,91,54.95,-7.73,47.03,0.0,0,5.14
234,qaanaaq,89,GL,overcast clouds,68,77.48,-69.36,48.81,0.0,0,2.28
235,sorgun,0,TR,clear sky,80,39.81,35.19,61.47,0.0,0,5.46
236,nantucket,90,US,mist,94,41.28,-70.1,73.0,0.0,0,10.29
